Opened the webpage: 2024-08-05 18:14:28
Page loaded: 2024-08-05 18:14:28
District folder '07 अमरावती' created or already exists: 2024-08-05 18:14:34
Taluka folder '10 भातकुली' created or already exists: 2024-08-05 18:14:35
Plot info: {'Survey No.': '55/2', 'Total Area': '0.8500', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:16:29
Plot info: {'Survey No.': '56', 'Total Area': '1.6100', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:16:30
Plot info: {'Survey No.': '57', 'Total Area': '1.9100', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:16:33
Plot info: {'Survey No.': '58', 'Total Area': '1.5700', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:16:35
Plot info: {'Survey No.': '59', 'Total Area': '1.3900', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:16:37
Plot info: {'Survey No.': '6/3', 'Total Area': '1.0000', 'Pot kharaba': '0.0300', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:16:38
Plot info: {'Survey No.': '60/2', 'Total Area': '3.1600', 'Pot kharaba': '0.0100', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:16:39
Plot info: {'Survey No.': '61', 'Total Area': '2.0000', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:16:40
Plot info: {'Survey No.': '62', 'Total Area': '1.3200', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:16:41
Plot info: {'Survey No.': '63', 'Total Area': '0.7300', 'Pot kharaba': '0.0100', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:16:42
Plot info: {'Survey No.': '64/2', 'Total Area': '2.0800', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:16:44
