Opened the webpage: 2024-08-05 00:06:30
Page loaded: 2024-08-05 00:06:30
District folder '07 अमरावती' created or already exists: 2024-08-05 00:06:36
Taluka folder '02 चिखलदरा' created or already exists: 2024-08-05 00:06:37
Plot info: {'Survey No.': '58', 'Total Area': '0.0000', 'Pot kharaba': '1.7900', 'Owner Name': 'महाराष्ट्र शासन वनविभाग जंगल', 'Khata No.': '37'}: 2024-08-05 00:07:33
Plot info: {'Survey No.': '59', 'Total Area': '0.0000', 'Pot kharaba': '0.6000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग जंगल', 'Khata No.': '37'}: 2024-08-05 00:07:34
Plot info: {'Survey No.': '6', 'Total Area': '2.3200', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '52'}: 2024-08-05 00:07:35
Plot info: {'Survey No.': '60', 'Total Area': '4.2800', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '52'}: 2024-08-05 00:07:37
Timeout waiting for plot info update on attempt 1/1: 2024-08-05 00:07:57
Plot info: {'Survey No.': '61/6', 'Total Area': '0.2000', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '52'}: 2024-08-05 00:07:57
Plot info: {'Survey No.': '62', 'Total Area': '0.1000', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '52'}: 2024-08-05 00:07:59
Plot info: {'Survey No.': '63', 'Total Area': '0.9600', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '52'}: 2024-08-05 00:08:00
Plot info: {'Survey No.': '64', 'Total Area': '0.3000', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '52'}: 2024-08-05 00:08:01
Plot info: {'Survey No.': '65', 'Total Area': '0.0000', 'Pot kharaba': '0.4100', 'Owner Name': 'महाराष्ट्र शासन वनविभाग खळवाडी', 'Khata No.': '42'}: 2024-08-05 00:08:03
Plot info: {'Survey No.': '66', 'Total Area': '0.0000', 'Pot kharaba': '0.2300', 'Owner Name': 'महाराष्ट्र शासन वनविभाग ( गावठाण )', 'Khata No.': '39'}: 2024-08-05 00:08:04
Plot info: {'Survey No.': '67', 'Total Area': '0.0000', 'Pot kharaba': '0.0600', 'Owner Name': 'महाराष्ट्र शासन वनविभाग रस्ता', 'Khata No.': '41'}: 2024-08-05 00:08:05
Plot info: {'Survey No.': '68', 'Total Area': '0.0000', 'Pot kharaba': '0.2000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग जंगल', 'Khata No.': '37'}: 2024-08-05 00:08:07
Plot info: {'Survey No.': '69', 'Total Area': '0.0000', 'Pot kharaba': '0.2600', 'Owner Name': 'महाराष्ट्र शासन वनविभाग जंगल', 'Khata No.': '37'}: 2024-08-05 00:08:08
Plot info: {'Survey No.': '7', 'Total Area': '2.3200', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '52'}: 2024-08-05 00:08:09
Plot info: {'Survey No.': '70', 'Total Area': '0.1000', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '52'}: 2024-08-05 00:08:10
Plot info: {'Survey No.': '71', 'Total Area': '1.6600', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '52'}: 2024-08-05 00:08:12
Plot info: {'Survey No.': '72', 'Total Area': '0.4400', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '52'}: 2024-08-05 00:08:13
Plot info: {'Survey No.': '73', 'Total Area': '3.0400', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '52'}: 2024-08-05 00:08:14
Plot info: {'Survey No.': '74/7', 'Total Area': '2.0000', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '52'}: 2024-08-05 00:08:16
Plot info: {'Survey No.': '8', 'Total Area': '3.7500', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '52'}: 2024-08-05 00:08:17
Plot info: {'Survey No.': '9', 'Total Area': '3.1600', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '52'}: 2024-08-05 00:08:18
Village '270700020065700000 केलपाणी' processed: 2024-08-05 00:08:18
Time taken for village '270700020065700000 केलपाणी': 0:01:53.365078: 2024-08-05 00:08:18
Script completed for village '270700020065700000 केलपाणी': 2024-08-05 00:08:21
