Opened the webpage: 2024-08-05 01:22:02
Page loaded: 2024-08-05 01:22:02
District folder '07 अमरावती' created or already exists: 2024-08-05 01:22:08
Taluka folder '02 चिखलदरा' created or already exists: 2024-08-05 01:22:09
Plot info: {'Survey No.': '72', 'Total Area': '0.0000', 'Pot kharaba': '1.6800', 'Owner Name': 'महाराष्ट्र शासन वनविभाग राखीव जंगल', 'Khata No.': '19'}: 2024-08-05 01:23:39
Plot info: {'Survey No.': '73', 'Total Area': '0.0000', 'Pot kharaba': '0.3800', 'Owner Name': 'महाराष्ट्र शासन वनविभाग रस्ता', 'Khata No.': '32'}: 2024-08-05 01:23:40
Plot info: {'Survey No.': '74', 'Total Area': '0.0000', 'Pot kharaba': '2.2200', 'Owner Name': 'महाराष्ट्र शासन वनविभाग राखीव जंगल', 'Khata No.': '19'}: 2024-08-05 01:23:42
Plot info: {'Survey No.': '75', 'Total Area': '0.0000', 'Pot kharaba': '1.8800', 'Owner Name': 'महाराष्ट्र शासन वनविभाग राखीव जंगल', 'Khata No.': '19'}: 2024-08-05 01:23:43
Plot info: {'Survey No.': '76', 'Total Area': '3.8600', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '31'}: 2024-08-05 01:23:44
Plot info: {'Survey No.': '77', 'Total Area': '3.5000', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '31'}: 2024-08-05 01:23:45
Plot info: {'Survey No.': '78', 'Total Area': '3.6300', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '31'}: 2024-08-05 01:23:46
Plot info: {'Survey No.': '79', 'Total Area': '2.1700', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '31'}: 2024-08-05 01:23:48
Plot info: {'Survey No.': '8', 'Total Area': '0.0000', 'Pot kharaba': '0.5400', 'Owner Name': 'महाराष्ट्र शासन वनविभाग राखीव जंगल', 'Khata No.': '19'}: 2024-08-05 01:23:49
Plot info: {'Survey No.': '80', 'Total Area': '1.4900', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '31'}: 2024-08-05 01:23:50
Plot info: {'Survey No.': '81', 'Total Area': '1.9400', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '31'}: 2024-08-05 01:23:51
Plot info: {'Survey No.': '82', 'Total Area': '0.2100', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '31'}: 2024-08-05 01:23:53
Plot info: {'Survey No.': '83', 'Total Area': '0.0000', 'Pot kharaba': '0.7200', 'Owner Name': 'महाराष्ट्र शासन वनविभाग राखीव जंगल', 'Khata No.': '19'}: 2024-08-05 01:23:54
Plot info: {'Survey No.': '84', 'Total Area': '0.0000', 'Pot kharaba': '0.1700', 'Owner Name': 'महाराष्ट्र शासन वनविभाग राखीव जंगल', 'Khata No.': '19'}: 2024-08-05 01:23:55
Plot info: {'Survey No.': '9', 'Total Area': '0.0000', 'Pot kharaba': '0.7900', 'Owner Name': 'वन विभाग', 'Khata No.': '31'}: 2024-08-05 01:23:56
Village '270700020066640000 वैराट' processed: 2024-08-05 01:23:56
Time taken for village '270700020066640000 वैराट': 0:01:59.111772: 2024-08-05 01:23:56
Script completed for village '270700020066640000 वैराट': 2024-08-05 01:23:59
