Opened the webpage: 2024-08-05 00:16:48
Page loaded: 2024-08-05 00:16:48
District folder '07 अमरावती' created or already exists: 2024-08-05 00:16:55
Taluka folder '02 चिखलदरा' created or already exists: 2024-08-05 00:16:56
Plot info: {'Survey No.': '57', 'Total Area': '0.0000', 'Pot kharaba': '0.1200', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '35'}: 2024-08-05 00:18:11
Plot info: {'Survey No.': '58', 'Total Area': '0.0000', 'Pot kharaba': '4.2000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '35'}: 2024-08-05 00:18:12
Plot info: {'Survey No.': '59', 'Total Area': '0.0000', 'Pot kharaba': '2.6000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '35'}: 2024-08-05 00:18:13
Plot info: {'Survey No.': '6', 'Total Area': '0.0000', 'Pot kharaba': '0.1600', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभाग', 'Khata No.': '36'}: 2024-08-05 00:18:15
Plot info: {'Survey No.': '60', 'Total Area': '0.0000', 'Pot kharaba': '0.5800', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '35'}: 2024-08-05 00:18:16
Plot info: {'Survey No.': '61', 'Total Area': '0.0000', 'Pot kharaba': '0.0300', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '35'}: 2024-08-05 00:18:17
Plot info: {'Survey No.': '62', 'Total Area': '0.0000', 'Pot kharaba': '2.3600', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '35'}: 2024-08-05 00:18:18
Plot info: {'Survey No.': '9', 'Total Area': '0.0000', 'Pot kharaba': '0.0700', 'Owner Name': 'महाराष्ट्र शासन वनविभाग जंगल', 'Khata No.': '28'}: 2024-08-05 00:18:19
Village '270700020065670000 गुल्‍लरघाट' processed: 2024-08-05 00:18:19
Time taken for village '270700020065670000 गुल्‍लरघाट': 0:01:34.099600: 2024-08-05 00:18:19
Script completed for village '270700020065670000 गुल्‍लरघाट': 2024-08-05 00:18:22
